Місцевий час в Харкові (аеропорт),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
04.07.2017 12:00,19.5,744.1,757.6,0.0,71,"Вітер, що дме із заходу-північного заходу",4,,,"90  або більше, але не 100 %",Зливовий (і) дощ (и). ,Злива (зливи).,Хмари покривали більше половини неба протягом всього відповідного періоду.,,,"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.",70 – 80%.,600-1000,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,14.0,,,,,,
04.07.2017 09:00,19.4,744.1,757.6,0.2,71,"Вітер, що дме з півночі",4,,,"90  або більше, але не 100 %", ,,,15.4,,"Шарувато-купчасті, що утворилися не з купчастих.",70 – 80%.,600-1000,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,13.9,,,,,,
04.07.2017 06:00,16.0,743.9,757.6,-0.2,81,"Вітер, що дме з північного заходу",2,,,60%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",40%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.",10.0,12.8,,,,,,
04.07.2017 03:00,16.3,744.1,757.8,-0.1,77,"Вітер, що дме з півночі",3,,,20–30%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",хмар немає,"2500 або більше, або хмар немає.","Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,12.3,,,,,,
04.07.2017 00:00,18.7,744.2,757.7,0.5,65,"Вітер, що дме з півночі",3,,,50%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",хмар немає,"2500 або більше, або хмар немає.","Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,11.9,,,,,,
03.07.2017 21:00,21.1,743.7,757.1,0.5,60,"Вітер, що дме з півночі-північного заходу",4,,,70 – 80%., ,,,,26.5,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",50%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,13.1,,,,,,
03.07.2017 18:00,23.8,743.2,756.4,0.5,49,"Вітер, що дме з північного заходу",4,,,70 – 80%., ,,,,,"Шарувато-купчасті, що утворилися з купчастих.",20–30%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,12.5,,,,,,
03.07.2017 15:00,26.0,742.7,755.8,-0.2,42,"Вітер, що дме із заходу",5,,,60%., ,,,,,"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.",40%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,12.2,,,,,,
03.07.2017 12:00,25.7,742.9,756.1,0.0,43,"Вітер, що дме із заходу-південного заходу",7,,,40%., ,,,,,"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.",20–30%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,12.0,,,,,,
03.07.2017 09:00,22.7,742.9,756.1,0.3,55,"Вітер, що дме із заходу",4,,,60%., ,,,17.1,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",20–30%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,13.2,,,,,,
03.07.2017 06:00,18.4,742.6,756.1,-0.4,82,"Вітер, що дме з півдня-південного заходу",2,,,70 – 80%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",20–30%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.",10.0,15.2,,,,,,
03.07.2017 03:00,17.8,743.0,756.5,0.1,82,"Вітер, що дме з південного заходу",3,,,40%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",40%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,14.7,,,,,,
03.07.2017 00:00,19.6,742.9,756.3,0.3,74,"Вітер, що дме з півдня-південного заходу",4,,,хмар немає, ,,,,,,,,,,10.0,14.8,,,,,,
02.07.2017 21:00,22.7,742.6,755.9,0.3,49,"Вітер, що дме з півдня-південного заходу",3,,,20–30%., ,,,,27.0,"Шарувато-купчасті, що утворилися не з купчастих.",20–30%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,11.3,,,,,,
02.07.2017 18:00,26.3,742.3,755.4,-0.3,38,"Вітер, що дме із заходу-південного заходу",6,,,40%., ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",40%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,11.0,,,,,,
02.07.2017 15:00,25.2,742.6,755.8,-0.2,43,"Вітер, що дме із заходу",4,,,60%., ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",40%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,11.6,,,,,,
02.07.2017 12:00,21.4,742.8,756.1,-0.1,65,"Вітер, що дме з південного заходу",4,,,"90  або більше, але не 100 %", ,,,,,"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.",20–30%.,600-1000,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,14.5,,,,,,
02.07.2017 09:00,19.4,742.9,756.4,1.5,78,"Вітер, що дме із заходу",5,,,100%.,Зливовий (і) дощ (и). ,Хмари покривали більше половини неба протягом однієї частини відповідного періоду і половину або менш протягом іншої частини періоду.,Хмари покривали більше половини неба протягом однієї частини відповідного періоду і половину або менш протягом іншої частини періоду.,19.4,,"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.",70 – 80%.,600-1000,"Високо-купчасті прозорі, смугами, або один або кілька шарів високо-купчастих прозорих, що поширюються по небу; ці високо-купчасті в цілому ущільнюються.",,10.0,15.4,Сліди опадів,12,,,,
02.07.2017 06:00,20.8,741.4,754.8,0.8,73,"Вітер, що дме із заходу",5,,,70 – 80%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",50%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.",10.0,15.8,,,,,,
02.07.2017 03:00,24.3,740.6,753.8,0.9,61,"Вітер, що дме із заходу-південного заходу",5,,,20–30%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",хмар немає,"2500 або більше, або хмар немає.","Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,16.4,,,,,,
02.07.2017 00:00,28.3,739.7,752.7,-0.4,39,"Вітер, що дме з півдня-південного заходу",6,,,"90  або більше, але не 100 %", ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",60%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,13.2,,,,,,
01.07.2017 21:00,29.3,740.1,753.1,-1.3,34,"Вітер, що дме з півдня-південного сходу",5,,,70 – 80%., ,,,,33.7,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",50%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,11.7,,,,,,
01.07.2017 18:00,32.9,741.4,754.2,-1.8,30,"Вітер, що дме з півдня",7,,,хмар немає, ,,,,,,,,,,10.0,12.9,,,,,,
01.07.2017 15:00,33.4,743.2,756.1,-1.0,27,"Вітер, що дме з півдня-південного заходу",8,,,40%., ,,,,,"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.",20–30%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,12.2,,,,,,
01.07.2017 12:00,31.9,744.2,757.1,-0.7,31,"Вітер, що дме з південного заходу",7,,,20–30%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",хмар немає,"2500 або більше, або хмар немає.","Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,12.7,,,,,,
01.07.2017 09:00,26.2,744.9,758.1,0.3,52,"Вітер, що дме з південного заходу",2,,,20–30%., ,,,20.2,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",хмар немає,"2500 або більше, або хмар немає.","Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,15.6,Сліди опадів,12,,,,
01.07.2017 06:00,21.0,744.6,758.0,0.6,72,"Вітер, що дме із заходу-південного заходу",2,,,20–30%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",хмар немає,"2500 або більше, або хмар немає.","Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,15.7,,,,,,
01.07.2017 03:00,22.7,744.0,757.3,0.8,72,"Вітер, що дме із заходу-південного заходу",2,,,20–30%.,Стан неба в загальному не змінився. ,Злива (зливи).,Хмари покривали більше половини неба протягом однієї частини відповідного періоду і половину або менш протягом іншої частини періоду.,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",20–30%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,17.4,Сліди опадів,6,,,,
01.07.2017 00:00,24.4,743.2,756.4,0.3,68,"Вітер, що дме з півдня-південного заходу",3,,,40%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",40%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,18.1,,,,,,
30.06.2017 21:00,27.3,742.9,755.9,0.6,53,"Вітер, що дме з півдня",3,,,50%., ,,,,33.1,"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.",20–30%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,17.0,,,,,,
30.06.2017 18:00,30.6,742.3,755.3,-0.9,38,"Вітер, що дме з півдня-південного заходу",7,,,70 – 80%., ,,,,,"Шарувато-купчасті, що утворилися з купчастих.",40%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,14.9,,,,,,
30.06.2017 15:00,32.6,743.2,756.1,-0.8,38,"Вітер, що дме з півдня",7,,,70 – 80%., ,,,,,"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.",50%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.",10.0,16.6,,,,,,
30.06.2017 12:00,30.8,744.0,757.0,-0.4,44,"Вітер, що дме з півдня",7,,,20–30%., ,,,,,"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.",20–30%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,17.2,,,,,,
30.06.2017 09:00,24.6,744.4,757.6,-0.3,69,"Вітер, що дме з півдня-південного сходу",5,,,20–30%., ,,,18.0,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",хмар немає,"2500 або більше, або хмар немає.","Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисто-купчасті одні або перисто-купчасті, супроводжувані пір'ястими або перисто-шаруватими, або ті й інші, але перисто-купчасті переважають серед них.",10.0,18.5,,,,,,
30.06.2017 06:00,19.9,744.7,758.1,0.5,86,"Вітер, що дме з південного сходу",4,,,50%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",хмар немає,"2500 або більше, або хмар немає.","Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,17.5,,,,,,
30.06.2017 03:00,18.8,744.2,757.7,-0.3,88,"Вітер, що дме зі сходу-південного сходу",4,,,20–30%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",хмар немає,"2500 або більше, або хмар немає.","Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,16.7,,,,,,
30.06.2017 00:00,20.4,744.5,757.9,0.1,73,"Вітер, що дме зі сходу",4,,,хмар немає, ,,,,,,,,,,10.0,15.4,,,,,,
29.06.2017 21:00,25.7,744.4,757.6,0.7,60,"Вітер, що дме з південного сходу",7,,,60%., ,,,,31.5,"Купчасто-дощові лисі з купчастими, шарувато-купчастими або шаруватими, або без них.",40%.,600-1000,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,17.4,,,,,,
29.06.2017 18:00,31.1,743.7,756.6,-1.0,41,"Вітер, що дме зі сходу",3,,,40%., ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",40%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,16.2,,,,,,
29.06.2017 15:00,30.9,744.7,757.6,-0.8,44,"Вітер, що дме з південного сходу",4,,,60%., ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",60%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,17.1,,,,,,
29.06.2017 12:00,29.0,745.5,758.5,-0.2,48,"Вітер, що дме зі сходу-південного сходу",2,,,40%., ,,,,,"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.",40%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,17.0,,,,,,
29.06.2017 09:00,24.5,745.7,759.0,0.0,65,"Вітер, що дме зі сходу-південного сходу",4,,,40%., ,,,17.2,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",хмар немає,"2500 або більше, або хмар немає.","Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,17.5,,,,,,
29.06.2017 06:00,18.5,745.7,759.2,0.6,88,"Штиль, безвітря",0,,,60%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",хмар немає,"2500 або більше, або хмар немає.","Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,16.5,,,,,,
29.06.2017 03:00,19.5,745.1,758.6,-0.2,84,"Вітер, що дме з півночі",3,,,50%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",хмар немає,"2500 або більше, або хмар немає.","Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,16.7,,,,,,
29.06.2017 00:00,21.0,745.3,758.8,0.2,80,"Вітер, що дме з північного сходу",3,,,40%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",хмар немає,"2500 або більше, або хмар немає.","Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,17.3,,,,,,
28.06.2017 21:00,24.3,745.1,758.4,0.0,63,"Вітер, що дме з півночі-північного сходу",2,,,70 – 80%., ,,,,28.3,"Шарувато-купчасті, що утворилися з купчастих.",40%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.",10.0,16.9,,,,,,
28.06.2017 18:00,27.7,745.1,758.2,-0.7,51,"Вітер, що дме з півночі-північного сходу",2,,,60%., ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",60%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,16.5,,,,,,
28.06.2017 15:00,26.8,745.8,758.9,-0.4,53,"Вітер, що дме з півночі",3,,,"90  або більше, але не 100 %", ,,,,,"Купчасто-дощові лисі з купчастими, шарувато-купчастими або шаруватими, або без них.","90  або більше, але не 100 %",600-1000,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,16.3,,,,,,
28.06.2017 12:00,27.0,746.2,759.4,-0.1,50,"Вітер, що дме з півночі-північного сходу",3,,,"90  або більше, але не 100 %", ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",70 – 80%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,15.8,,,,,,
28.06.2017 09:00,23.8,746.3,759.6,0.3,69,"Вітер, що дме з півночі-північного сходу",3,,,70 – 80%., ,,,19.4,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",70 – 80%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,17.7,Сліди опадів,12,,,,
28.06.2017 06:00,20.1,746.0,759.4,0.3,84,"Вітер, що дме з півночі-північного заходу",2,,,70 – 80%., ,,,,,"Шарувато-купчасті, що утворилися не з купчастих.",40%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,17.3,,,,,,
